car_name,speed,safe_distance,reaction_time,stopping_time
AggressiveCar1,0.1,0.44,0.3,4.4
AggressiveCar2,0.1,0.44,0.3,4.4
AggressiveCar1,0.2,0.57,0.3,2.85
AggressiveCar2,0.2,0.58,0.3,2.9
AggressiveCar1,0.3,0.69,0.3,2.3
AggressiveCar2,0.3,0.71,0.3,2.37
AggressiveCar1,0.4,0.87,0.3,2.17
AggressiveCar2,0.4,0.85,0.3,2.12
AggressiveCar1,0.5,1.0,0.3,2.0
AggressiveCar2,0.5,0.95,0.3,1.9
AggressiveCar1,0.6,1.16,0.3,1.93
AggressiveCar2,0.6,1.11,0.3,1.85
AggressiveCar1,0.7,1.3,0.3,1.86
AggressiveCar2,0.7,1.24,0.3,1.77
AggressiveCar1,0.8,1.34,0.3,1.68
AggressiveCar2,0.8,1.35,0.3,1.69
AggressiveCar1,0.9,1.52,0.3,1.69
AggressiveCar2,0.9,1.59,0.3,1.77
AggressiveCar1,1.0,1.62,0.3,1.62
AggressiveCar2,1.0,1.71,0.3,1.71
AggressiveCar1,1.1,1.76,0.3,1.6
AggressiveCar2,1.1,1.75,0.3,1.59
AggressiveCar1,1.2,1.94,0.3,1.62
AggressiveCar2,1.2,1.98,0.3,1.65
AggressiveCar1,1.3,2.18,0.3,1.68
AggressiveCar2,1.3,2.11,0.3,1.62
AggressiveCar1,1.4,2.2,0.3,1.57
AggressiveCar2,1.4,2.32,0.3,1.66
AggressiveCar1,1.5,2.26,0.3,1.51
AggressiveCar2,1.5,2.45,0.3,1.63
AggressiveCar1,1.6,2.48,0.3,1.55
AggressiveCar2,1.6,2.38,0.3,1.49
AggressiveCar1,1.7,2.72,0.3,1.6
AggressiveCar2,1.7,2.53,0.3,1.49
AggressiveCar1,1.8,2.66,0.3,1.48
AggressiveCar2,1.8,2.72,0.3,1.51
AggressiveCar1,1.9,2.91,0.3,1.53
AggressiveCar2,1.9,3.05,0.3,1.61
AggressiveCar1,2.0,2.96,0.3,1.48
