Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
2.57,2.42,2.67,0.0
2.57,2.42,2.67,0.1
2.57,2.42,2.67,0.2
2.57,2.42,2.67,0.3
2.57,2.42,2.67,0.4
2.57,2.42,2.67,0.5
2.57,2.42,2.67,0.6
2.57,2.42,2.67,0.7
2.57,2.42,2.67,0.8
2.57,2.42,2.67,0.9
2.57,2.42,2.67,1.0
2.57,2.42,2.67,1.1
2.57,2.42,2.67,1.2
2.57,2.42,2.67,1.3
2.57,2.42,2.67,1.4
2.57,2.42,2.67,1.5
2.57,2.42,2.67,1.6
2.57,2.42,2.67,1.7
2.57,2.42,2.67,1.8
2.57,2.42,2.67,1.9
2.57,2.42,2.67,2.0
2.57,2.42,2.67,2.1
2.57,2.42,2.67,2.2
2.57,2.42,2.67,2.3
2.57,2.42,2.67,2.4
2.57,2.42,2.67,2.5
2.57,2.42,2.67,2.6
2.57,2.42,2.67,2.7
2.57,2.42,2.67,2.8
2.57,2.42,2.67,2.9
2.57,2.42,2.67,3.0
2.57,2.42,2.67,3.1
2.57,2.42,2.67,3.2
2.57,2.42,2.67,3.3
2.57,2.42,2.67,3.4
2.57,2.42,2.67,3.5
2.57,2.42,2.67,3.6
2.57,2.42,2.67,3.7
2.57,2.42,2.67,3.8
3.39,2.42,2.67,3.9
4.21,3.19,3.53,4.0
4.21,3.19,3.53,4.1
4.21,3.19,3.53,4.2
4.21,3.19,3.53,4.3
4.21,3.19,4.39,4.4
4.86,5.51,4.39,4.5
4.86,5.51,4.39,4.6
4.86,5.51,4.39,4.7
4.86,5.51,4.39,4.8
5.85,5.51,4.39,4.9
5.85,5.51,6.1,5.0
5.85,5.51,6.1,5.1
5.85,5.51,6.1,5.2
5.85,5.51,6.1,5.3
5.85,5.51,6.1,5.4
5.85,5.51,6.1,5.5
5.85,5.51,6.1,5.6
5.85,5.51,6.1,5.7
5.85,5.51,6.1,5.8
5.85,5.51,6.1,5.9
5.85,5.51,6.1,6.0
5.85,5.51,6.1,6.1
5.85,5.51,6.1,6.2
5.85,5.51,6.1,6.3
5.85,5.51,6.1,6.4
5.85,5.51,6.1,6.5
5.85,5.51,6.1,6.6
5.85,5.51,6.1,6.7
5.85,5.51,6.1,6.8
5.85,5.51,6.1,6.9
5.85,5.51,6.1,7.0
5.85,5.51,6.1,7.1
5.85,5.51,6.1,7.2
5.85,5.51,6.1,7.3
5.85,5.51,6.1,7.4
5.85,5.51,6.1,7.5
5.85,5.51,6.1,7.6
5.85,5.51,6.1,7.7
6.67,5.51,6.1,7.8
6.67,5.51,6.1,7.9
7.5,5.51,6.1,8.0
7.5,5.51,6.1,8.1
7.5,5.51,6.96,8.2
7.5,5.51,6.96,8.3
7.5,5.51,6.96,8.4
7.5,5.51,6.96,8.5
7.5,5.51,6.96,8.6
7.5,5.51,6.96,8.7
8.32,5.51,7.81,8.8
8.32,5.51,7.81,8.9
8.95,5.51,7.81,9.0
8.95,5.51,8.67,9.1
8.95,5.51,8.67,9.2
8.95,5.51,8.67,9.3
8.95,5.51,8.67,9.4
8.95,5.51,8.67,9.5
8.95,5.51,8.67,9.6
8.95,5.51,8.67,9.7
8.95,5.51,8.67,9.8
8.95,5.51,8.67,9.9
8.95,5.51,9.51,10.0
8.95,5.51,9.51,10.1
8.95,5.51,9.51,10.2
8.95,5.51,9.51,10.3
8.95,6.28,9.51,10.4
8.95,6.28,9.51,10.5
8.95,6.28,9.51,10.6
8.95,6.28,9.51,10.7
8.95,8.52,9.51,10.8
8.95,8.52,9.51,10.9
8.95,8.52,9.51,11.0
8.95,8.52,9.51,11.1
8.95,8.52,9.51,11.2
8.95,8.52,9.51,11.3
8.95,8.52,9.51,11.4
8.95,8.52,9.51,11.5
8.95,8.52,9.51,11.6
8.95,8.52,9.51,11.7
8.95,8.52,9.51,11.8
8.95,8.52,9.51,11.9
9.75,8.52,9.51,12.0
9.75,8.52,9.51,12.1
9.75,8.52,9.51,12.2
9.75,8.52,9.51,12.3
9.75,8.52,10.37,12.4
9.75,8.52,10.37,12.5
9.75,8.52,10.37,12.6
11.37,8.52,10.37,12.7
11.37,8.52,10.37,12.8
11.37,8.52,10.37,12.9
11.37,8.52,10.37,13.0
11.37,8.52,10.37,13.1
11.37,8.52,10.37,13.2
11.37,8.52,11.03,13.3
11.37,8.52,11.03,13.4
11.37,8.52,11.87,13.5
11.37,8.52,11.87,13.6
11.37,8.52,11.87,13.7
11.37,8.52,11.87,13.8
11.37,8.52,11.87,13.9
12.07,8.52,11.87,14.0
12.07,8.52,11.87,14.1
12.07,8.52,11.87,14.2
12.07,8.52,11.87,14.3
12.07,8.52,11.87,14.4
12.07,8.52,12.81,14.5
12.07,8.52,12.81,14.6
12.07,8.52,12.81,14.7
12.07,8.52,12.81,14.8
12.07,8.52,12.81,14.9
12.07,8.52,12.81,15.0
12.07,8.52,12.81,15.1
12.07,8.52,12.81,15.2
12.07,8.52,12.81,15.3
12.07,8.52,12.81,15.4
12.07,8.52,12.81,15.5
12.07,8.52,12.81,15.6
12.07,8.52,12.81,15.7
12.07,8.52,12.81,15.8
12.07,8.52,12.81,15.9
12.07,8.52,12.81,16.0
12.07,8.52,12.81,16.1
12.07,8.52,12.81,16.2
12.07,8.52,12.81,16.3
12.07,8.52,12.81,16.4
12.07,8.52,12.81,16.5
12.87,8.52,12.81,16.6
13.65,8.52,12.81,16.7
13.65,9.29,12.81,16.8
13.65,9.29,12.81,16.9
13.65,9.29,12.81,17.0
13.65,9.29,12.81,17.1
13.65,10.05,12.81,17.2
13.65,10.05,12.81,17.3
13.65,10.05,12.81,17.4
13.65,10.77,13.52,17.5
14.47,10.77,13.52,17.6
14.47,11.59,13.52,17.7
14.47,11.59,15.05,17.8
14.47,11.59,15.05,17.9
14.47,11.59,15.05,18.0
14.47,11.59,15.05,18.1
14.47,11.59,15.05,18.2
14.47,11.59,15.05,18.3
14.47,11.59,15.05,18.4
14.47,11.59,15.05,18.5
14.47,11.59,15.05,18.6
14.47,11.59,15.05,18.7
14.47,11.59,15.05,18.8
14.47,11.59,15.05,18.9
15.19,11.59,15.99,19.0
15.19,11.59,15.99,19.1
15.19,11.59,15.99,19.2
15.19,11.59,15.99,19.3
15.19,11.59,15.99,19.4
15.19,11.59,15.99,19.5
15.19,11.59,15.99,19.6
15.19,11.59,15.99,19.7
15.19,11.59,15.99,19.8
15.19,11.59,15.99,19.9
15.19,11.59,15.99,20.0
15.19,11.59,15.99,20.1
15.19,11.59,15.99,20.2
15.19,11.59,15.99,20.3
15.19,11.59,15.99,20.4
15.19,11.59,15.99,20.5
15.19,11.59,15.99,20.6
15.19,11.59,15.99,20.7
15.19,11.59,15.99,20.8
15.19,11.59,15.99,20.9
15.19,11.59,15.99,21.0
15.19,11.59,15.99,21.1
15.19,11.59,15.99,21.2
15.19,11.59,15.99,21.3
15.98,11.59,15.99,21.4
16.67,11.59,15.99,21.5
16.67,11.59,15.99,21.6
16.67,11.59,15.99,21.7
16.67,11.59,15.99,21.8
16.67,11.59,15.99,21.9
16.67,11.59,15.99,22.0
16.67,11.59,15.99,22.1
16.67,11.59,15.99,22.2
16.67,11.59,15.99,22.3
16.67,11.59,16.72,22.4
16.67,11.59,16.72,22.5
17.62,11.59,16.72,22.6
17.62,11.59,18.11,22.7
17.62,11.59,18.11,22.8
17.62,11.59,18.11,22.9
17.62,11.59,18.11,23.0
17.62,11.59,18.11,23.1
17.62,11.59,18.11,23.2
17.62,11.59,18.11,23.3
17.62,11.59,18.11,23.4
17.62,11.59,19.04,23.5
17.62,11.59,19.04,23.6
17.62,12.36,19.04,23.7
17.62,12.36,19.04,23.8
17.62,13.08,19.04,23.9
18.35,13.08,19.04,24.0
18.35,14.92,19.04,24.1
18.35,14.92,19.04,24.2
18.35,14.92,19.04,24.3
18.35,14.92,19.04,24.4
18.35,14.92,19.04,24.5
18.35,14.92,19.04,24.6
18.35,14.92,19.04,24.7
18.35,14.92,19.04,24.8
18.35,14.92,19.04,24.9
18.35,14.92,19.04,25.0
18.35,14.92,19.04,25.1
18.35,14.92,19.04,25.2
18.35,14.92,19.04,25.3
18.35,14.92,19.04,25.4
18.35,14.92,19.04,25.5
18.35,14.92,19.04,25.6
18.35,14.92,19.04,25.7
18.35,14.92,19.04,25.8
18.35,14.92,19.04,25.9
18.35,14.92,19.04,26.0
19.14,14.92,19.04,26.1
19.14,14.92,19.04,26.2
19.14,14.92,19.04,26.3
19.84,14.92,19.04,26.4
19.84,14.92,19.04,26.5
19.84,14.92,19.04,26.6
19.84,14.92,19.04,26.7
19.84,14.92,19.04,26.8
19.84,14.92,19.04,26.9
19.84,14.92,19.04,27.0
19.84,14.92,19.04,27.1
19.84,14.92,19.04,27.2
19.84,14.92,19.78,27.3
19.84,14.92,20.48,27.4
19.84,14.92,20.48,27.5
20.77,14.92,21.21,27.6
20.77,14.92,21.21,27.7
20.77,14.92,21.21,27.8
20.77,14.92,21.21,27.9
20.77,14.92,22.13,28.0
20.77,14.92,22.13,28.1
20.77,14.92,22.13,28.2
20.77,14.92,22.13,28.3
20.77,14.92,22.13,28.4
20.77,14.92,22.13,28.5
20.77,14.92,22.13,28.6
20.77,14.92,22.13,28.7
20.77,14.92,22.13,28.8
20.77,14.92,22.13,28.9
21.51,14.92,22.13,29.0
21.51,14.92,22.13,29.1
21.51,14.92,22.13,29.2
21.51,14.92,22.13,29.3
21.51,14.92,22.13,29.4
21.51,14.92,22.13,29.5
21.51,14.92,22.13,29.6
21.51,14.92,22.13,29.7
