Speed_(km/hr)_TL,Speed_(km/hr)_CAwSD4WI,Speed_(km/hr)_RN,Time_(secs)
22.59,22.59,22.59,0.0
22.59,22.59,22.59,0.1
22.59,22.59,22.59,0.2
22.59,22.59,22.59,0.3
22.59,22.59,22.59,0.4
22.59,22.59,22.59,0.5
22.59,22.59,22.59,0.6
22.59,22.59,22.59,0.7
22.59,22.59,22.59,0.8
22.59,22.59,22.59,0.9
22.59,22.59,22.59,1.0
22.59,22.59,22.59,1.1
22.59,22.59,22.59,1.2
22.59,22.59,22.59,1.3
22.59,22.59,22.59,1.4
22.59,22.59,22.59,1.5
22.59,22.59,22.59,1.6
22.59,22.59,22.59,1.7
22.59,22.59,22.59,1.8
22.59,22.59,22.59,1.9
22.59,22.59,22.59,2.0
22.59,22.59,22.59,2.1
22.59,22.59,22.59,2.2
22.59,22.59,22.59,2.3
22.59,16.95,22.59,2.4
22.59,16.95,22.59,2.5
22.59,16.95,22.59,2.6
22.59,14.12,22.59,2.7
22.59,11.3,22.59,2.8
22.59,11.3,22.59,2.9
22.59,11.3,22.59,3.0
22.59,11.3,22.59,3.1
22.59,11.3,22.59,3.2
22.59,11.3,22.59,3.3
22.59,11.3,22.59,3.4
22.59,11.3,22.59,3.5
22.59,11.3,22.59,3.6
22.59,11.3,22.59,3.7
22.59,11.3,22.59,3.8
22.59,11.3,22.59,3.9
22.59,11.3,22.59,4.0
22.59,11.3,22.59,4.1
22.59,11.3,22.59,4.2
22.59,11.3,22.59,4.3
22.59,11.3,22.59,4.4
22.59,11.3,22.59,4.5
22.59,11.41,22.59,4.6
22.59,11.63,22.59,4.7
22.59,11.86,22.59,4.8
22.59,12.08,22.59,4.9
22.59,12.3,22.59,5.0
22.59,12.53,22.59,5.1
22.59,12.75,22.59,5.2
22.59,12.97,22.59,5.3
22.59,13.2,22.59,5.4
22.59,13.42,22.59,5.5
22.59,13.65,22.59,5.6
22.59,13.87,22.59,5.7
22.59,14.09,22.59,5.8
22.59,14.32,22.59,5.9
22.59,14.54,22.59,6.0
22.59,14.76,22.59,6.1
22.59,14.99,22.59,6.2
22.59,15.21,22.59,6.3
22.59,15.44,22.59,6.4
22.59,15.66,22.59,6.5
22.59,15.88,22.59,6.6
22.59,16.11,22.59,6.7
22.59,16.33,22.59,6.8
22.59,16.55,22.59,6.9
21.09,16.78,22.59,7.0
19.77,17.0,22.59,7.1
19.77,17.22,22.59,7.2
19.77,17.45,22.59,7.3
18.36,17.67,22.59,7.4
17.28,18.42,22.59,7.5
17.57,18.62,22.59,7.6
17.57,19.19,22.59,7.7
17.57,19.37,22.59,7.8
17.57,19.55,22.59,7.9
17.57,17.47,22.59,8.0
17.57,17.65,22.59,8.1
17.57,16.21,22.59,8.2
17.57,16.89,22.59,8.3
17.57,17.04,22.59,8.4
17.57,17.19,22.59,8.5
17.57,15.45,22.59,8.6
17.57,13.72,22.59,8.7
16.32,13.87,22.59,8.8
15.06,14.02,22.59,8.9
15.55,14.17,22.59,9.0
15.65,14.32,22.59,9.1
15.74,14.47,22.59,9.2
15.84,14.62,22.59,9.3
15.93,14.76,22.59,9.4
16.35,14.88,22.59,9.5
17.0,14.95,22.59,9.6
16.06,15.03,22.59,9.7
16.14,15.06,22.59,9.8
15.19,15.06,22.59,9.9
15.27,15.06,22.59,10.0
15.35,15.06,22.59,10.1
15.44,15.06,22.59,10.2
15.52,15.06,22.59,10.3
15.6,15.06,22.59,10.4
15.0,15.06,22.59,10.5
15.08,15.06,22.59,10.6
15.15,15.14,22.59,10.7
14.25,15.29,22.59,10.8
14.33,15.44,22.59,10.9
14.4,15.58,22.59,11.0
14.48,15.73,22.59,11.1
14.56,15.88,22.59,11.2
14.64,16.03,22.59,11.3
14.72,16.18,22.59,11.4
15.12,16.33,22.59,11.5
15.19,16.48,22.59,11.6
15.27,16.63,22.59,11.7
15.34,16.78,22.59,11.8
15.42,16.93,22.59,11.9
15.17,17.08,22.59,12.0
15.51,17.22,22.59,12.1
14.74,17.37,22.59,12.2
14.81,17.52,22.59,12.3
14.87,17.67,22.59,12.4
14.94,17.82,22.59,12.5
14.17,17.97,22.59,12.6
13.4,18.12,22.59,12.7
13.46,18.27,22.59,12.8
13.53,18.42,22.59,12.9
13.6,18.57,22.59,13.0
13.66,18.72,22.59,13.1
13.73,18.87,22.59,13.2
13.79,19.01,22.59,13.3
13.86,19.16,22.59,13.4
14.53,19.31,22.59,13.5
14.59,19.46,22.59,13.6
14.65,19.61,22.59,13.7
14.71,19.76,22.59,13.8
14.74,19.91,22.59,13.9
14.77,20.06,22.59,14.0
14.02,20.39,22.59,14.1
14.02,20.53,22.59,14.2
14.02,20.8,22.59,14.3
14.31,20.93,22.59,14.4
14.31,21.04,22.59,14.5
13.85,19.53,22.59,14.6
12.39,19.83,22.59,14.7
12.39,19.92,22.59,14.8
12.39,20.18,22.59,14.9
12.39,20.24,22.59,15.0
12.39,20.31,22.59,15.1
12.39,18.96,22.59,15.2
12.71,19.02,22.59,15.3
12.76,19.08,22.59,15.4
12.82,19.15,22.59,15.5
12.17,19.18,22.59,15.6
12.23,19.19,22.59,15.7
12.28,19.2,22.59,15.8
12.65,19.18,22.59,15.9
12.7,18.02,22.59,16.0
12.76,18.0,22.59,16.1
12.81,17.98,22.59,16.2
13.15,17.96,22.59,16.3
13.2,17.94,22.59,16.4
13.52,17.92,22.59,16.5
12.93,17.9,22.59,16.6
12.98,18.15,22.59,16.7
13.03,17.28,22.59,16.8
13.08,17.28,22.59,16.9
13.13,17.3,22.59,17.0
12.19,17.33,22.59,17.1
10.36,17.36,22.59,17.2
10.41,17.38,22.59,17.3
10.46,17.41,22.59,17.4
10.51,17.44,22.59,17.5
10.56,17.46,22.59,17.6
10.61,17.49,22.59,17.7
10.66,17.51,22.59,17.8
10.71,17.57,22.59,17.9
11.08,17.62,22.59,18.0
11.12,17.67,22.59,18.1
11.17,17.72,22.59,18.2
11.52,17.78,22.59,18.3
11.57,17.83,22.59,18.4
11.61,17.88,22.59,18.5
10.78,17.94,22.59,18.6
10.83,17.99,22.59,18.7
10.88,18.04,22.59,18.8
11.21,18.09,22.59,18.9
11.26,18.17,22.59,19.0
11.3,18.25,22.59,19.1
11.35,18.33,22.59,19.2
11.39,18.41,22.59,19.3
11.44,18.49,22.59,19.4
10.92,18.57,22.59,19.5
10.96,18.87,22.59,19.6
9.31,18.94,22.59,19.7
9.36,19.01,22.59,19.8
9.4,19.06,22.59,19.9
