car_name,speed,safe_distance,reaction_time,time
GentleCar1,3.47,15.52,0.28,0.0
GentleCar1,3.83,17.13,0.13,0.0
GentleCar1,3.44,15.52,0.28,0.1
GentleCar1,3.79,17.13,0.13,0.1
GentleCar1,3.44,15.52,0.28,0.2
GentleCar1,3.79,17.13,0.13,0.2
GentleCar1,3.44,15.52,0.28,0.3
GentleCar1,3.79,17.13,0.13,0.3
GentleCar1,3.44,15.52,0.28,0.4
GentleCar1,3.79,17.13,0.13,0.4
GentleCar1,3.44,15.52,0.28,0.5
GentleCar1,3.79,17.13,0.13,0.5
GentleCar1,3.44,15.52,0.28,0.6
GentleCar1,3.79,17.13,0.13,0.6
GentleCar1,3.44,15.52,0.28,0.7
GentleCar1,3.79,17.13,0.13,0.7
GentleCar1,3.44,15.52,0.28,0.8
GentleCar1,3.79,17.13,0.13,0.8
GentleCar1,3.44,15.52,0.28,0.9
GentleCar1,3.79,17.13,0.13,0.9
GentleCar1,3.44,15.52,0.28,1.0
GentleCar1,3.79,17.13,0.13,1.0
GentleCar1,3.44,15.52,0.28,1.1
GentleCar1,3.79,17.13,0.13,1.1
GentleCar1,3.44,15.52,0.28,1.2
GentleCar1,3.79,17.13,0.13,1.2
GentleCar1,3.44,15.52,0.28,1.3
GentleCar1,3.79,17.13,0.13,1.3
GentleCar1,3.44,15.52,0.28,1.4
GentleCar1,3.79,17.13,0.13,1.4
GentleCar1,3.44,15.52,0.28,1.5
GentleCar1,3.79,17.13,0.13,1.5
GentleCar1,3.44,15.52,0.28,1.6
GentleCar1,3.79,17.13,0.13,1.6
GentleCar1,3.44,15.52,0.28,1.7
GentleCar1,3.79,17.13,0.13,1.7
GentleCar1,3.44,15.52,0.28,1.8
GentleCar1,3.79,17.13,0.13,1.8
GentleCar1,3.44,15.52,0.28,1.9
GentleCar1,3.79,17.13,0.13,1.9
GentleCar1,3.44,15.52,0.28,2.0
GentleCar1,3.79,17.13,0.13,2.0
GentleCar1,3.44,15.52,0.28,2.1
GentleCar1,3.79,17.13,0.13,2.1
GentleCar1,3.44,15.52,0.28,2.2
GentleCar1,3.79,17.13,0.13,2.2
GentleCar1,3.44,15.52,0.28,2.3
GentleCar1,3.79,17.13,0.13,2.3
GentleCar1,3.44,15.52,0.28,2.4
GentleCar1,3.79,17.13,0.13,2.4
GentleCar1,3.44,15.52,0.28,2.5
GentleCar1,3.79,17.13,0.13,2.5
GentleCar1,3.44,15.52,0.28,2.6
GentleCar1,3.79,17.13,0.13,2.6
GentleCar1,3.44,15.52,0.28,2.7
GentleCar1,3.79,17.13,0.13,2.7
GentleCar1,3.44,15.52,0.28,2.8
GentleCar1,3.79,17.13,0.13,2.8
GentleCar1,3.44,15.52,0.28,2.9
GentleCar1,3.79,17.13,0.13,2.9
GentleCar1,3.44,15.52,0.28,3.0
GentleCar1,3.79,17.13,0.13,3.0
GentleCar1,3.83,17.13,0.13,0.0
GentleCar1,3.44,15.52,0.28,3.1
GentleCar1,3.79,17.13,0.13,3.1
GentleCar1,3.79,17.13,0.13,0.1
GentleCar1,3.44,15.52,0.28,3.2
GentleCar1,3.79,17.13,0.13,3.2
GentleCar1,3.79,17.13,0.13,0.2
GentleCar1,3.44,15.52,0.28,3.3
GentleCar1,3.79,17.13,0.13,3.3
GentleCar1,3.79,17.13,0.13,0.3
