car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,0.0,19.69,0.66,0.0
AggressiveCar2,0.0,16.57,0.73,0.0
AggressiveCar1,220.25,19.69,0.66,0.1
AggressiveCar2,185.28,16.57,0.73,0.1
AggressiveCar1,110.12,19.69,0.66,0.2
AggressiveCar2,92.64,16.57,0.73,0.2
AggressiveCar1,73.42,19.69,0.66,0.3
AggressiveCar2,61.76,16.57,0.73,0.3
AggressiveCar1,55.06,19.69,0.66,0.4
AggressiveCar2,46.32,16.57,0.73,0.4
AggressiveCar1,44.05,19.69,0.66,0.5
AggressiveCar2,37.06,16.57,0.73,0.5
AggressiveCar1,36.71,19.69,0.66,0.6
AggressiveCar2,30.88,16.57,0.73,0.6
AggressiveCar1,31.46,19.69,0.66,0.7
AggressiveCar2,26.47,16.57,0.73,0.7
AggressiveCar1,27.53,19.69,0.66,0.8
AggressiveCar2,23.16,16.57,0.73,0.8
AggressiveCar1,24.47,19.69,0.66,0.9
AggressiveCar2,20.59,16.57,0.73,0.9
AggressiveCar1,22.02,19.69,0.66,1.0
AggressiveCar2,18.53,16.57,0.73,1.0
AggressiveCar1,20.02,19.69,0.66,1.1
AggressiveCar2,16.84,16.57,0.73,1.1
AggressiveCar1,18.35,19.69,0.66,1.2
AggressiveCar2,15.44,16.57,0.73,1.2
AggressiveCar1,16.94,19.69,0.66,1.3
AggressiveCar2,14.25,16.57,0.73,1.3
AggressiveCar1,15.73,19.69,0.66,1.4
AggressiveCar2,13.23,16.57,0.73,1.4
AggressiveCar1,14.68,19.69,0.66,1.5
AggressiveCar2,12.35,16.57,0.73,1.5
AggressiveCar1,13.77,19.69,0.66,1.6
AggressiveCar2,11.58,16.57,0.73,1.6
AggressiveCar1,12.96,19.69,0.66,1.7
AggressiveCar2,10.9,16.57,0.73,1.7
AggressiveCar1,12.24,19.69,0.66,1.8
AggressiveCar2,10.29,16.57,0.73,1.8
AggressiveCar1,11.59,19.69,0.66,1.9
AggressiveCar2,9.75,16.57,0.73,1.9
AggressiveCar1,11.01,19.69,0.66,2.0
AggressiveCar2,9.26,16.57,0.73,2.0
AggressiveCar1,10.49,19.69,0.66,2.1
AggressiveCar2,8.82,16.57,0.73,2.1
AggressiveCar1,10.01,19.69,0.66,2.2
AggressiveCar2,8.42,16.57,0.73,2.2
AggressiveCar1,9.58,19.69,0.66,2.3
AggressiveCar2,8.06,16.57,0.73,2.3
AggressiveCar1,9.18,19.69,0.66,2.4
AggressiveCar2,7.72,16.57,0.73,2.4
AggressiveCar1,8.81,19.69,0.66,2.5
AggressiveCar2,7.41,16.57,0.73,2.5
AggressiveCar1,8.47,19.69,0.66,2.6
AggressiveCar2,7.13,16.57,0.73,2.6
AggressiveCar1,8.16,19.69,0.66,2.7
AggressiveCar2,6.86,16.57,0.73,2.7
AggressiveCar1,7.87,19.69,0.66,2.8
AggressiveCar2,6.62,16.57,0.73,2.8
AggressiveCar1,7.59,19.69,0.66,2.9
AggressiveCar2,6.39,16.57,0.73,2.9
AggressiveCar1,7.34,19.69,0.66,3.0
AggressiveCar2,6.18,16.57,0.73,3.0
AggressiveCar1,7.1,19.69,0.66,3.1
AggressiveCar2,5.98,16.57,0.73,3.1
AggressiveCar1,6.88,19.69,0.66,3.2
AggressiveCar2,5.79,16.57,0.73,3.2
AggressiveCar1,6.67,19.69,0.66,3.3
AggressiveCar2,5.61,16.57,0.73,3.3
AggressiveCar1,6.48,19.69,0.66,3.4
AggressiveCar2,5.45,16.57,0.73,3.4
AggressiveCar1,6.29,19.69,0.66,3.5
AggressiveCar2,5.29,16.57,0.73,3.5
AggressiveCar1,6.12,19.69,0.66,3.6
AggressiveCar2,5.15,16.57,0.73,3.6
AggressiveCar1,5.95,19.69,0.66,3.7
AggressiveCar2,5.01,16.57,0.73,3.7
AggressiveCar1,5.8,19.69,0.66,3.8
AggressiveCar2,4.88,16.57,0.73,3.8
AggressiveCar1,5.65,19.69,0.66,3.9
AggressiveCar2,4.75,16.57,0.73,3.9
AggressiveCar1,5.51,19.69,0.66,4.0
AggressiveCar2,4.63,16.57,0.73,4.0
AggressiveCar1,5.37,19.69,0.66,4.1
AggressiveCar2,4.52,16.57,0.73,4.1
AggressiveCar1,5.24,19.69,0.66,4.2
AggressiveCar2,4.41,16.57,0.73,4.2
AggressiveCar1,5.12,19.69,0.66,4.3
AggressiveCar2,4.31,16.57,0.73,4.3
AggressiveCar1,5.01,19.69,0.66,4.4
AggressiveCar2,4.21,16.57,0.73,4.4
AggressiveCar1,4.89,19.69,0.66,4.5
AggressiveCar2,4.12,16.57,0.73,4.5
AggressiveCar1,4.79,19.69,0.66,4.6
AggressiveCar2,4.03,16.57,0.73,4.6
AggressiveCar1,4.69,19.69,0.66,4.7
AggressiveCar2,3.94,16.57,0.73,4.7
AggressiveCar1,4.59,19.69,0.66,4.8
AggressiveCar2,3.86,16.57,0.73,4.8
AggressiveCar1,4.49,19.69,0.66,4.9
AggressiveCar2,3.78,16.57,0.73,4.9
AggressiveCar1,4.45,19.69,0.66,5.0
AggressiveCar2,3.74,16.57,0.73,5.0
AggressiveCar1,4.4,19.69,0.66,5.1
AggressiveCar2,3.71,16.57,0.73,5.1
AggressiveCar1,4.36,19.69,0.66,5.2
AggressiveCar2,3.67,16.57,0.73,5.2
AggressiveCar1,4.36,19.69,0.66,5.3
AggressiveCar2,3.67,16.57,0.73,5.3
AggressiveCar1,4.36,19.69,0.66,5.4
AggressiveCar2,3.67,16.57,0.73,5.4
AggressiveCar1,4.36,19.69,0.66,5.5
AggressiveCar2,3.67,16.57,0.73,5.5
AggressiveCar1,4.36,19.69,0.66,5.6
AggressiveCar2,3.67,16.57,0.73,5.6
AggressiveCar1,4.36,19.69,0.66,5.7
AggressiveCar2,3.67,16.57,0.73,5.7
AggressiveCar1,4.36,19.69,0.66,5.8
AggressiveCar2,3.67,16.57,0.73,5.8
AggressiveCar1,4.36,19.69,0.66,5.9
AggressiveCar2,3.67,16.57,0.73,5.9
AggressiveCar1,4.36,19.69,0.66,6.0
AggressiveCar2,3.67,16.57,0.73,6.0
AggressiveCar1,4.36,19.69,0.66,6.1
AggressiveCar2,3.67,16.57,0.73,6.1
AggressiveCar1,4.36,19.69,0.66,6.2
AggressiveCar2,3.67,16.57,0.73,6.2
AggressiveCar3,0.0,16.57,0.73,0.0
AggressiveCar1,4.36,19.69,0.66,6.3
AggressiveCar2,3.67,16.57,0.73,6.3
AggressiveCar3,185.28,16.57,0.73,0.1
AggressiveCar1,4.36,19.69,0.66,6.4
AggressiveCar2,3.67,16.57,0.73,6.4
AggressiveCar3,92.64,16.57,0.73,0.2
AggressiveCar1,4.36,19.69,0.66,6.5
AggressiveCar2,3.67,16.57,0.73,6.5
AggressiveCar3,61.76,16.57,0.73,0.3
AggressiveCar1,4.36,19.69,0.66,6.6
AggressiveCar2,3.67,16.57,0.73,6.6
AggressiveCar3,46.32,16.57,0.73,0.4
AggressiveCar4,0.0,19.69,0.66,0.0
AggressiveCar1,4.36,19.69,0.66,6.7
AggressiveCar2,3.67,16.57,0.73,6.7
AggressiveCar3,37.06,16.57,0.73,0.5
AggressiveCar4,220.25,19.69,0.66,0.1
AggressiveCar1,4.36,19.69,0.66,6.8
AggressiveCar2,3.67,16.57,0.73,6.8
AggressiveCar3,30.88,16.57,0.73,0.6
AggressiveCar4,110.12,19.69,0.66,0.2
AggressiveCar1,4.36,19.69,0.66,6.9
AggressiveCar2,3.67,16.57,0.73,6.9
AggressiveCar3,26.47,16.57,0.73,0.7
AggressiveCar4,73.42,19.69,0.66,0.3
AggressiveCar1,4.36,19.69,0.66,7.0
AggressiveCar2,3.67,16.57,0.73,7.0
AggressiveCar3,23.16,16.57,0.73,0.8
AggressiveCar4,55.06,19.69,0.66,0.4
AggressiveCar1,4.36,19.69,0.66,7.1
AggressiveCar2,3.67,16.57,0.73,7.1
AggressiveCar3,20.59,16.57,0.73,0.9
AggressiveCar4,44.05,19.69,0.66,0.5
AggressiveCar1,4.36,19.69,0.66,7.2
AggressiveCar2,3.67,16.57,0.73,7.2
AggressiveCar3,18.53,16.57,0.73,1.0
AggressiveCar4,36.71,19.69,0.66,0.6
AggressiveCar1,4.36,19.69,0.66,7.3
AggressiveCar2,3.67,16.57,0.73,7.3
AggressiveCar3,16.84,16.57,0.73,1.1
AggressiveCar4,31.46,19.69,0.66,0.7
AggressiveCar1,4.36,19.69,0.66,7.4
AggressiveCar2,3.67,16.57,0.73,7.4
AggressiveCar3,15.44,16.57,0.73,1.2
AggressiveCar4,27.53,19.69,0.66,0.8
AggressiveCar1,4.36,19.69,0.66,7.5
AggressiveCar2,3.67,16.57,0.73,7.5
AggressiveCar3,14.25,16.57,0.73,1.3
AggressiveCar4,24.47,19.69,0.66,0.9
AggressiveCar1,4.36,19.69,0.66,7.6
AggressiveCar2,3.67,16.57,0.73,7.6
AggressiveCar3,13.23,16.57,0.73,1.4
AggressiveCar4,22.02,19.69,0.66,1.0
AggressiveCar1,4.36,19.69,0.66,7.7
AggressiveCar2,3.67,16.57,0.73,7.7
AggressiveCar3,12.35,16.57,0.73,1.5
AggressiveCar4,20.02,19.69,0.66,1.1
AggressiveCar1,4.36,19.69,0.66,7.8
AggressiveCar2,3.67,16.57,0.73,7.8
AggressiveCar3,11.58,16.57,0.73,1.6
AggressiveCar4,18.35,19.69,0.66,1.2
AggressiveCar1,4.36,19.69,0.66,7.9
AggressiveCar2,3.67,16.57,0.73,7.9
AggressiveCar3,10.9,16.57,0.73,1.7
AggressiveCar4,16.94,19.69,0.66,1.3
AggressiveCar1,4.36,19.69,0.66,8.0
AggressiveCar2,3.67,16.57,0.73,8.0
AggressiveCar3,10.29,16.57,0.73,1.8
AggressiveCar4,15.73,19.69,0.66,1.4
AggressiveCar1,4.36,19.69,0.66,8.1
AggressiveCar2,3.67,16.57,0.73,8.1
AggressiveCar3,9.75,16.57,0.73,1.9
AggressiveCar4,14.68,19.69,0.66,1.5
AggressiveCar1,4.36,19.69,0.66,8.2
AggressiveCar2,3.67,16.57,0.73,8.2
AggressiveCar3,9.26,16.57,0.73,2.0
AggressiveCar4,13.77,19.69,0.66,1.6
AggressiveCar1,4.36,19.69,0.66,8.3
AggressiveCar2,3.67,16.57,0.73,8.3
AggressiveCar3,8.82,16.57,0.73,2.1
AggressiveCar4,12.96,19.69,0.66,1.7
AggressiveCar1,4.36,19.69,0.66,8.4
AggressiveCar2,3.67,16.57,0.73,8.4
AggressiveCar3,8.42,16.57,0.73,2.2
AggressiveCar4,12.24,19.69,0.66,1.8
AggressiveCar1,4.36,19.69,0.66,8.5
AggressiveCar2,3.67,16.57,0.73,8.5
AggressiveCar3,8.06,16.57,0.73,2.3
AggressiveCar4,11.59,19.69,0.66,1.9
AggressiveCar1,4.36,19.69,0.66,8.6
AggressiveCar2,3.67,16.57,0.73,8.6
AggressiveCar3,7.72,16.57,0.73,2.4
AggressiveCar4,11.01,19.69,0.66,2.0
AggressiveCar1,4.36,19.69,0.66,8.7
AggressiveCar2,3.67,16.57,0.73,8.7
AggressiveCar3,7.41,16.57,0.73,2.5
AggressiveCar4,10.49,19.69,0.66,2.1
AggressiveCar1,4.36,19.69,0.66,8.8
AggressiveCar2,3.67,16.57,0.73,8.8
AggressiveCar3,7.13,16.57,0.73,2.6
AggressiveCar4,10.01,19.69,0.66,2.2
AggressiveCar1,4.36,19.69,0.66,8.9
AggressiveCar2,3.67,16.57,0.73,8.9
AggressiveCar3,6.86,16.57,0.73,2.7
