car_name,speed,safe_distance,reaction_time,time
GentleCar1,0.0,18.13,0.15,0.0
GentleCar2,0.0,16.6,0.25,0.0
GentleCar1,202.79,18.13,0.15,0.1
GentleCar2,185.64,16.6,0.25,0.1
GentleCar1,101.39,18.13,0.15,0.2
GentleCar2,92.82,16.6,0.25,0.2
GentleCar1,67.6,18.13,0.15,0.3
GentleCar2,61.88,16.6,0.25,0.3
GentleCar1,50.7,18.13,0.15,0.4
GentleCar2,46.41,16.6,0.25,0.4
GentleCar1,40.56,18.13,0.15,0.5
GentleCar2,37.13,16.6,0.25,0.5
GentleCar1,33.8,18.13,0.15,0.6
GentleCar2,30.94,16.6,0.25,0.6
GentleCar1,28.97,18.13,0.15,0.7
GentleCar2,26.52,16.6,0.25,0.7
GentleCar1,25.35,18.13,0.15,0.8
GentleCar2,23.2,16.6,0.25,0.8
GentleCar1,22.53,18.13,0.15,0.9
GentleCar2,20.63,16.6,0.25,0.9
GentleCar1,20.28,18.13,0.15,1.0
GentleCar2,18.56,16.6,0.25,1.0
GentleCar1,18.44,18.13,0.15,1.1
GentleCar2,16.88,16.6,0.25,1.1
GentleCar1,16.9,18.13,0.15,1.2
GentleCar2,15.47,16.6,0.25,1.2
GentleCar1,15.6,18.13,0.15,1.3
GentleCar2,14.28,16.6,0.25,1.3
GentleCar1,14.48,18.13,0.15,1.4
GentleCar2,13.26,16.6,0.25,1.4
GentleCar1,13.52,18.13,0.15,1.5
GentleCar2,12.38,16.6,0.25,1.5
GentleCar1,12.67,18.13,0.15,1.6
GentleCar2,11.6,16.6,0.25,1.6
GentleCar1,11.93,18.13,0.15,1.7
GentleCar2,10.92,16.6,0.25,1.7
GentleCar1,11.27,18.13,0.15,1.8
GentleCar2,10.31,16.6,0.25,1.8
GentleCar1,10.67,18.13,0.15,1.9
GentleCar2,9.77,16.6,0.25,1.9
GentleCar1,10.14,18.13,0.15,2.0
GentleCar2,9.28,16.6,0.25,2.0
GentleCar1,9.66,18.13,0.15,2.1
GentleCar2,8.84,16.6,0.25,2.1
GentleCar1,9.22,18.13,0.15,2.2
GentleCar2,8.44,16.6,0.25,2.2
GentleCar1,8.82,18.13,0.15,2.3
GentleCar2,8.07,16.6,0.25,2.3
GentleCar1,8.45,18.13,0.15,2.4
GentleCar2,7.73,16.6,0.25,2.4
GentleCar1,8.11,18.13,0.15,2.5
GentleCar2,7.43,16.6,0.25,2.5
GentleCar1,7.8,18.13,0.15,2.6
GentleCar2,7.14,16.6,0.25,2.6
GentleCar1,7.51,18.13,0.15,2.7
GentleCar2,6.88,16.6,0.25,2.7
GentleCar1,7.24,18.13,0.15,2.8
GentleCar2,6.63,16.6,0.25,2.8
GentleCar1,6.99,18.13,0.15,2.9
GentleCar2,6.4,16.6,0.25,2.9
GentleCar1,6.76,18.13,0.15,3.0
GentleCar2,6.19,16.6,0.25,3.0
GentleCar1,6.54,18.13,0.15,3.1
GentleCar2,5.99,16.6,0.25,3.1
GentleCar1,6.34,18.13,0.15,3.2
GentleCar2,5.8,16.6,0.25,3.2
GentleCar1,6.15,18.13,0.15,3.3
GentleCar2,5.63,16.6,0.25,3.3
GentleCar1,5.96,18.13,0.15,3.4
