car_name,speed,safe_distance,reaction_time,time
GentleCar1,0.0,15.52,0.27,0.0
GentleCar2,0.0,18.41,0.22,0.0
GentleCar1,173.6,15.52,0.27,0.0
GentleCar2,205.87,18.41,0.22,0.0
GentleCar1,86.8,15.52,0.27,0.0
GentleCar2,102.93,18.41,0.22,0.0
GentleCar1,57.87,15.52,0.27,0.0
GentleCar2,68.62,18.41,0.22,0.0
GentleCar1,43.4,15.52,0.27,0.0
GentleCar2,51.47,18.41,0.22,0.0
GentleCar1,34.72,15.52,0.27,0.0
GentleCar2,41.17,18.41,0.22,0.0
GentleCar1,28.93,15.52,0.27,0.0
GentleCar2,34.31,18.41,0.22,0.0
GentleCar1,24.8,15.52,0.27,0.0
GentleCar2,29.41,18.41,0.22,0.0
GentleCar1,21.7,15.52,0.27,0.0
GentleCar2,25.73,18.41,0.22,0.0
GentleCar1,19.29,15.52,0.27,0.0
GentleCar2,22.87,18.41,0.22,0.0
GentleCar1,17.36,15.52,0.27,0.0
GentleCar2,20.59,18.41,0.22,0.0
GentleCar1,15.78,15.52,0.27,0.0
GentleCar2,18.72,18.41,0.22,0.0
GentleCar1,14.47,15.52,0.27,0.0
GentleCar2,17.16,18.41,0.22,0.0
GentleCar1,13.35,15.52,0.27,0.0
GentleCar2,15.84,18.41,0.22,0.0
GentleCar1,12.4,15.52,0.27,0.0
GentleCar2,14.7,18.41,0.22,0.0
GentleCar1,11.57,15.52,0.27,0.0
GentleCar2,13.72,18.41,0.22,0.0
GentleCar1,10.85,15.52,0.27,0.0
GentleCar2,12.87,18.41,0.22,0.0
GentleCar1,10.21,15.52,0.27,0.0
GentleCar2,12.11,18.41,0.22,0.0
GentleCar1,9.64,15.52,0.27,0.0
GentleCar2,11.44,18.41,0.22,0.0
GentleCar1,9.14,15.52,0.27,0.0
GentleCar2,10.84,18.41,0.22,0.0
GentleCar1,8.68,15.52,0.27,0.0
GentleCar2,10.29,18.41,0.22,0.0
GentleCar1,8.27,15.52,0.27,0.0
GentleCar2,9.8,18.41,0.22,0.0
GentleCar1,7.89,15.52,0.27,0.0
GentleCar2,9.36,18.41,0.22,0.0
GentleCar1,7.55,15.52,0.27,0.0
GentleCar2,8.95,18.41,0.22,0.0
GentleCar1,7.23,15.52,0.27,0.0
GentleCar2,8.58,18.41,0.22,0.0
GentleCar1,6.94,15.52,0.27,0.0
GentleCar2,8.23,18.41,0.22,0.0
GentleCar1,6.68,15.52,0.27,0.0
GentleCar2,7.92,18.41,0.22,0.0
GentleCar1,6.43,15.52,0.27,0.0
GentleCar2,7.62,18.41,0.22,0.0
GentleCar1,6.2,15.52,0.27,0.0
GentleCar2,7.35,18.41,0.22,0.0
GentleCar1,5.99,15.52,0.27,0.0
GentleCar2,7.1,18.41,0.22,0.0
GentleCar1,5.79,15.52,0.27,0.0
GentleCar2,6.86,18.41,0.22,0.0
GentleCar1,5.6,15.52,0.27,0.0
GentleCar2,6.64,18.41,0.22,0.0
GentleCar1,5.42,15.52,0.27,0.0
GentleCar2,6.43,18.41,0.22,0.0
GentleCar1,5.26,15.52,0.27,0.0
GentleCar2,6.24,18.41,0.22,0.0
GentleCar1,5.11,15.52,0.27,0.0
GentleCar2,6.05,18.41,0.22,0.0
GentleCar1,4.96,15.52,0.27,0.0
GentleCar2,5.88,18.41,0.22,0.0
GentleCar1,4.82,15.52,0.27,0.0
GentleCar2,5.72,18.41,0.22,0.0
GentleCar1,4.69,15.52,0.27,0.0
GentleCar2,5.56,18.41,0.22,0.0
GentleCar1,4.57,15.52,0.27,0.0
GentleCar2,5.42,18.41,0.22,0.0
GentleCar1,4.45,15.52,0.27,0.0
GentleCar2,5.28,18.41,0.22,0.0
GentleCar1,4.34,15.52,0.27,0.0
GentleCar2,5.15,18.41,0.22,0.0
GentleCar1,4.23,15.52,0.27,0.0
GentleCar2,5.02,18.41,0.22,0.0
GentleCar1,4.13,15.52,0.27,0.0
GentleCar2,4.9,18.41,0.22,0.0
GentleCar1,4.04,15.52,0.27,0.0
GentleCar2,4.79,18.41,0.22,0.0
GentleCar1,3.95,15.52,0.27,0.0
GentleCar2,4.68,18.41,0.22,0.0
GentleCar1,3.86,15.52,0.27,0.0
GentleCar2,4.57,18.41,0.22,0.0
GentleCar1,3.77,15.52,0.27,0.0
GentleCar2,4.48,18.41,0.22,0.0
GentleCar1,3.69,15.52,0.27,0.0
GentleCar2,4.38,18.41,0.22,0.0
GentleCar1,3.62,15.52,0.27,0.0
GentleCar2,4.29,18.41,0.22,0.0
GentleCar1,3.54,15.52,0.27,0.0
GentleCar2,4.2,18.41,0.22,0.0
GentleCar1,3.51,15.52,0.27,0.0
GentleCar2,4.16,18.41,0.22,0.0
GentleCar1,3.47,15.52,0.27,0.0
GentleCar2,4.12,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,0.0,18.41,0.22,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,205.87,18.41,0.22,0.0
GentleCar4,0.0,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,102.93,18.41,0.22,0.0
GentleCar4,173.6,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,68.62,18.41,0.22,0.0
GentleCar4,86.8,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,51.47,18.41,0.22,0.0
GentleCar4,57.87,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,41.17,18.41,0.22,0.0
GentleCar4,43.4,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,34.31,18.41,0.22,0.0
GentleCar4,34.72,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
GentleCar2,4.08,18.41,0.22,0.0
GentleCar3,29.41,18.41,0.22,0.0
GentleCar4,28.93,15.52,0.27,0.0
GentleCar1,3.44,15.52,0.27,0.0
