car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,0.0,25,0.3,0.0
AggressiveCar2,0.0,25,0.3,0.0
AggressiveCar1,17.67,0.79,0.59,0.1
AggressiveCar2,12.3,0.55,0.39,0.1
AggressiveCar1,8.61,0.77,0.45,0.2
AggressiveCar2,10.51,0.94,0.53,0.2
AggressiveCar1,8.65,1.16,0.51,0.3
AggressiveCar2,6.34,0.85,0.39,0.3
AggressiveCar1,6.26,1.12,0.34,0.4
AggressiveCar2,5.48,0.98,0.31,0.4
AggressiveCar1,7.74,1.73,0.5,0.5
AggressiveCar2,8.19,1.83,0.62,0.5
AggressiveCar1,8.24,2.21,0.63,0.6
AggressiveCar2,7.27,1.95,0.67,0.6
AggressiveCar1,5.15,1.61,0.39,0.7
AggressiveCar2,5.5,1.72,0.33,0.7
AggressiveCar1,5.68,2.03,0.58,0.8
AggressiveCar2,7.24,2.59,0.65,0.8
AggressiveCar1,4.5,1.81,0.48,0.9
AggressiveCar2,6.51,2.62,0.56,0.9
AggressiveCar1,5.53,2.47,0.67,1.0
AggressiveCar2,4.97,2.22,0.38,1.0
AggressiveCar1,4.66,2.29,0.43,1.1
AggressiveCar2,4.49,2.21,0.5,1.1
AggressiveCar1,4.88,2.62,0.39,1.2
AggressiveCar2,6.3,3.38,0.69,1.2
AggressiveCar1,4.78,2.78,0.41,1.3
AggressiveCar2,6.19,3.6,0.54,1.3
AggressiveCar1,5.51,3.45,0.66,1.4
AggressiveCar2,4.68,2.93,0.31,1.4
AggressiveCar1,4.28,2.87,0.33,1.5
AggressiveCar2,4.65,3.12,0.34,1.5
AggressiveCar1,4.38,3.13,0.41,1.6
AggressiveCar2,5.24,3.75,0.46,1.6
AggressiveCar1,4.86,3.69,0.42,1.7
AggressiveCar2,5.41,4.11,0.57,1.7
AggressiveCar1,3.9,3.14,0.4,1.8
AggressiveCar2,4.62,3.72,0.36,1.8
AggressiveCar1,4.77,4.05,0.35,1.9
AggressiveCar2,4.71,4.0,0.68,1.9
AggressiveCar1,4.21,3.76,0.55,2.0
AggressiveCar2,4.74,4.24,0.33,2.0
AggressiveCar1,6.22,5.84,0.72,2.1
AggressiveCar2,5.25,4.93,0.65,2.1
AggressiveCar1,3.89,3.83,0.36,2.2
AggressiveCar2,4.22,4.15,0.57,2.2
AggressiveCar1,3.68,3.78,0.42,2.3
AggressiveCar2,4.2,4.32,0.31,2.3
AggressiveCar1,5.44,5.84,0.71,2.4
AggressiveCar2,5.42,5.82,0.43,2.4
AggressiveCar1,6.12,6.84,0.62,2.5
AggressiveCar2,4.4,4.92,0.57,2.5
AggressiveCar1,4.55,5.29,0.4,2.6
AggressiveCar2,6.64,7.72,0.66,2.6
AggressiveCar1,4.08,4.92,0.56,2.7
AggressiveCar2,6.16,7.43,0.59,2.7
AggressiveCar1,5.04,6.31,0.41,2.8
AggressiveCar2,6.07,7.6,0.58,2.8
AggressiveCar1,4.92,6.38,0.37,2.9
AggressiveCar2,4.3,5.57,0.45,2.9
AggressiveCar1,3.83,5.13,0.41,3.0
AggressiveCar2,4.91,6.59,0.37,3.0
AggressiveCar1,4.27,5.92,0.56,3.1
AggressiveCar2,4.63,6.41,0.48,3.1
AggressiveCar1,5.34,7.64,0.6,3.2
AggressiveCar2,4.63,6.62,0.59,3.2
AggressiveCar1,5.48,8.09,0.5,3.3
AggressiveCar2,6.2,9.14,0.68,3.3
AggressiveCar1,4.95,7.53,0.53,3.4
AggressiveCar2,5.41,8.22,0.49,3.4
AggressiveCar1,6.87,10.75,0.65,3.5
AggressiveCar2,4.1,6.41,0.6,3.5
AggressiveCar1,4.11,6.61,0.47,3.6
AggressiveCar2,4.62,7.44,0.54,3.6
AggressiveCar1,4.44,7.35,0.5,3.7
AggressiveCar2,5.67,9.37,0.74,3.7
AggressiveCar1,4.55,7.73,0.42,3.8
AggressiveCar2,4.86,8.26,0.41,3.8
AggressiveCar1,6.4,11.15,0.7,3.9
AggressiveCar2,5.59,9.75,0.73,3.9
AggressiveCar1,6.02,10.77,0.72,4.0
AggressiveCar2,4.13,7.38,0.36,4.0
AggressiveCar1,6.53,11.97,0.7,4.1
AggressiveCar2,6.67,12.23,0.75,4.1
AggressiveCar1,4.36,8.19,0.71,4.2
AggressiveCar2,3.42,6.43,0.37,4.2
AggressiveCar1,5.39,10.36,0.45,4.3
AggressiveCar2,5.53,10.63,0.52,4.3
AggressiveCar1,5.08,10.0,0.66,4.4
AggressiveCar2,4.06,7.98,0.5,4.4
AggressiveCar1,4.63,9.32,0.66,4.5
AggressiveCar2,6.81,13.69,0.75,4.5
AggressiveCar1,4.49,9.24,0.5,4.6
AggressiveCar2,4.83,9.94,0.48,4.6
AggressiveCar1,4.73,9.94,0.37,4.7
AggressiveCar2,3.91,8.22,0.57,4.7
AggressiveCar1,5.78,12.41,0.51,4.8
AggressiveCar2,6.47,13.89,0.59,4.8
AggressiveCar1,4.62,10.13,0.41,4.9
AggressiveCar2,4.54,9.95,0.49,4.9
AggressiveCar1,3.38,7.55,0.34,5.0
AggressiveCar2,3.98,8.9,0.52,5.0
AggressiveCar1,5.04,11.48,0.66,5.1
AggressiveCar2,4.86,11.07,0.69,5.1
AggressiveCar1,5.52,12.83,0.64,5.2
AggressiveCar2,6.04,14.03,0.71,5.2
AggressiveCar1,4.58,10.85,0.62,5.3
AggressiveCar2,5.79,13.71,0.59,5.3
AggressiveCar1,3.26,7.87,0.33,5.4
AggressiveCar2,4.13,9.97,0.57,5.4
AggressiveCar1,4.19,10.31,0.42,5.5
AggressiveCar2,4.39,10.79,0.75,5.5
AggressiveCar1,3.87,9.7,0.39,5.6
AggressiveCar2,5.55,13.9,0.68,5.6
AggressiveCar1,5.93,15.11,0.52,5.7
AggressiveCar2,3.95,10.07,0.52,5.7
AggressiveCar1,3.66,9.5,0.36,5.8
AggressiveCar2,4.52,11.72,0.47,5.8
AggressiveCar1,4.09,10.8,0.71,5.9
AggressiveCar2,6.14,16.19,0.55,5.9
AggressiveCar1,5.75,15.43,0.53,6.0
AggressiveCar2,5.71,15.32,0.63,6.0
AggressiveCar1,3.51,9.58,0.39,6.1
AggressiveCar2,5.1,13.9,0.48,6.1
AggressiveCar1,4.33,11.99,0.53,6.2
AggressiveCar2,4.78,13.26,0.36,6.2
AggressiveCar1,3.91,11.0,0.45,6.3
AggressiveCar2,3.83,10.79,0.43,6.3
AggressiveCar1,6.33,18.1,0.64,6.4
AggressiveCar2,5.62,16.07,0.67,6.4
AggressiveCar1,4.55,13.23,0.44,6.5
AggressiveCar2,5.01,14.56,0.55,6.5
AggressiveCar1,4.3,12.69,0.41,6.6
AggressiveCar2,6.77,19.96,0.71,6.6
AggressiveCar1,4.2,12.58,0.45,6.7
AggressiveCar2,3.72,11.14,0.34,6.7
AggressiveCar1,3.72,11.32,0.43,6.8
AggressiveCar2,5.58,16.95,0.61,6.8
AggressiveCar1,3.95,12.19,0.57,6.9
AggressiveCar2,4.25,13.11,0.34,6.9
AggressiveCar1,4.3,13.47,0.53,7.0
AggressiveCar2,4.84,15.16,0.52,7.0
AggressiveCar1,4.69,14.89,0.63,7.1
AggressiveCar2,5.76,18.28,0.62,7.1
AggressiveCar3,0.0,25,0.3,0.0
AggressiveCar4,0.0,25,0.3,0.0
AggressiveCar1,4.06,13.06,0.42,7.2
AggressiveCar2,4.56,14.69,0.38,7.2
AggressiveCar3,10.07,0.45,0.3,0.1
AggressiveCar4,18.12,0.81,0.57,0.1
AggressiveCar1,6.18,20.16,0.6,7.3
AggressiveCar2,4.73,15.42,0.64,7.3
AggressiveCar3,14.43,1.29,0.73,0.2
AggressiveCar4,8.05,0.72,0.37,0.2
AggressiveCar1,6.05,20.01,0.7,7.4
AggressiveCar2,3.72,12.29,0.46,7.4
AggressiveCar3,5.82,0.78,0.31,0.3
AggressiveCar4,7.53,1.01,0.4,0.3
AggressiveCar1,6.72,22.52,0.66,7.5
AggressiveCar2,3.44,11.54,0.33,7.5
AggressiveCar3,7.61,1.36,0.67,0.4
AggressiveCar4,5.37,0.96,0.34,0.4
AggressiveCar1,5.28,17.94,0.67,7.6
AggressiveCar2,3.38,11.47,0.45,7.6
