car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,0.0,20,0.3,0.0
AggressiveCar2,0.0,20,0.3,0.0
AggressiveCar1,9.28,0.83,0.46,0.1
AggressiveCar2,11.63,1.04,0.53,0.1
AggressiveCar1,6.43,1.15,0.52,0.2
AggressiveCar2,7.61,1.36,0.49,0.2
AggressiveCar1,6.34,1.7,0.69,0.3
AggressiveCar2,9.43,2.53,0.72,0.3
AggressiveCar1,5.48,1.96,0.59,0.4
AggressiveCar2,6.26,2.24,0.48,0.4
AggressiveCar1,7.61,3.4,0.6,0.5
AggressiveCar2,4.81,2.15,0.41,0.5
AggressiveCar1,4.23,2.27,0.4,0.6
AggressiveCar2,4.88,2.62,0.61,0.6
AggressiveCar1,7.29,4.56,0.75,0.7
AggressiveCar2,4.46,2.79,0.43,0.7
AggressiveCar1,4.74,3.39,0.41,0.8
AggressiveCar2,7.24,5.18,0.74,0.8
AggressiveCar1,6.36,5.12,0.55,0.9
AggressiveCar2,6.93,5.58,0.71,0.9
AggressiveCar1,3.93,3.51,0.36,1.0
AggressiveCar2,6.4,5.72,0.62,1.0
AggressiveCar1,6.54,6.43,0.61,1.1
AggressiveCar2,5.5,5.41,0.53,1.1
AggressiveCar1,7.13,7.65,0.75,1.2
AggressiveCar2,7.44,7.98,0.68,1.2
AggressiveCar1,4.91,5.71,0.43,1.3
AggressiveCar2,3.73,4.33,0.42,1.3
AggressiveCar1,6.7,8.38,0.75,1.4
AggressiveCar2,7.04,8.81,0.68,1.4
AggressiveCar1,5.25,7.04,0.43,1.5
AggressiveCar2,4.95,6.64,0.4,1.5
AggressiveCar1,5.66,8.09,0.69,1.6
AggressiveCar2,4.1,5.86,0.36,1.6
AggressiveCar1,4.28,6.51,0.51,1.7
AggressiveCar2,5.0,7.6,0.73,1.7
AggressiveCar1,5.3,8.53,0.46,1.8
AggressiveCar2,3.83,6.16,0.4,1.8
AggressiveCar1,7.31,12.41,0.74,1.9
AggressiveCar2,4.23,7.18,0.3,1.9
AggressiveCar1,4.02,7.18,0.3,2.0
AggressiveCar2,7.15,12.78,0.72,2.0
AggressiveCar1,5.09,9.56,0.45,2.1
AggressiveCar2,4.2,7.88,0.43,2.1
AggressiveCar1,4.27,8.4,0.36,2.2
AggressiveCar2,5.14,10.11,0.71,2.2
AggressiveCar1,4.42,9.08,0.42,2.3
AggressiveCar2,4.04,8.3,0.42,2.3
AggressiveCar1,3.82,8.19,0.39,2.4
AggressiveCar2,4.35,9.33,0.47,2.4
AggressiveCar1,4.21,9.4,0.44,2.5
AggressiveCar2,7.04,15.73,0.74,2.5
AggressiveCar1,6.59,15.33,0.61,2.6
AggressiveCar2,5.05,11.73,0.63,2.6
AggressiveCar1,5.66,13.66,0.7,2.7
AggressiveCar2,4.64,11.2,0.36,2.7
AggressiveCar1,6.9,17.27,0.75,2.8
AggressiveCar2,6.37,15.95,0.69,2.8
AggressiveCar1,4.42,11.45,0.52,2.9
AggressiveCar2,3.58,9.27,0.38,2.9
AggressiveCar1,5.52,14.8,0.55,3.0
AggressiveCar2,4.85,13.0,0.7,3.0
AggressiveCar1,6.09,16.89,0.73,3.1
AggressiveCar2,4.08,11.31,0.31,3.1
AggressiveCar1,5.13,14.68,0.6,3.2
AggressiveCar2,4.67,13.37,0.62,3.2
AggressiveCar1,3.55,10.46,0.3,3.3
AggressiveCar2,4.21,12.42,0.43,3.3
AggressiveCar1,5.47,16.62,0.49,3.4
AggressiveCar2,5.37,16.33,0.72,3.4
AggressiveCar1,6.06,18.97,0.7,3.5
AggressiveCar2,4.89,15.31,0.39,3.5
AggressiveCar1,5.18,16.68,0.54,3.6
AggressiveCar2,3.4,10.93,0.36,3.6
AggressiveCar1,5.1,16.88,0.6,3.7
AggressiveCar2,4.1,13.57,0.41,3.7
AggressiveCar1,5.43,18.45,0.67,3.8
AggressiveCar2,6.15,20.89,0.75,3.8
AggressiveCar1,4.73,16.5,0.61,3.9
AggressiveCar2,3.59,12.51,0.33,3.9
AggressiveCar1,4.25,15.2,0.59,4.0
AggressiveCar2,4.22,15.08,0.58,4.0
AggressiveCar1,4.49,16.47,0.4,4.1
