car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,6.549702748538215e+26,1.9616901392582048e+27,1.620751553886829e+26,0.0
AggressiveCar2,5.374611539980527e+27,1.6097406042856294e+28,1.43036809549963e+27,0.0
AggressiveCar3,740427281.93,397189422.58,112767107.52,0.0
AggressiveCar4,76254390.41,30679012.68,9702669.28,0.0
AggressiveCar1,1.8645206328024621e+27,5.667742647767877e+27,2.8848384400855954e+26,0.0
AggressiveCar2,6.41051399579987e+27,1.9486587023441713e+28,2.3672655945376902e+27,0.0
AggressiveCar3,1960096345.97,1139081470.61,305530325.06,0.0
AggressiveCar4,162461703.82,72624811.72,30679012.68,0.0
AggressiveCar1,2.7121244680801223e+27,8.365515793362918e+27,8.214119779373735e+26,0.0
AggressiveCar2,1.3987153457845576e+28,4.3143209145791e+28,2.82414304687561e+27,0.0
AggressiveCar3,6322555046.14,3956896318.55,813629621.86,0.0
AggressiveCar4,311526271.9,153186812.29,66022556.11,0.0
AggressiveCar1,4.579604664180604e+27,1.4330457152107387e+28,1.1950736847661311e+27,0.0
AggressiveCar2,1.9559292423031068e+28,6.120475948199261e+28,6.163315592255857e+27,0.0
AggressiveCar3,12447186993.74,8346348006.53,2637930879.03,0.0
AggressiveCar4,708890573.05,380272099.98,127655676.91,0.0
AggressiveCar1,1.2806660282316036e+28,4.064697720359582e+28,2.0183742467756883e+27,0.0
AggressiveCar2,4.628162685761711e+28,1.4689295962855675e+29,8.62038865943558e+27,0.0
AggressiveCar3,35284113655.61,25236737527.48,5216467504.08,0.0
AggressiveCar4,1523194224.23,885182159.81,292516999.98,0.0
AggressiveCar1,3.4768885128460863e+28,1.1190700622481815e+29,5.645413500499419e+27,0.0
AggressiveCar2,9.188192261510553e+28,2.9573081932443444e+29,2.040179994841066e+28,0.0
AggressiveCar3,112496226288.12,85491097313.28,14845139722.05,0.0
AggressiveCar4,4718752899.78,2953175708.4,632272971.29,0.0
AggressiveCar1,8.112875109750775e+28,2.6474737729629256e+29,1.5329726880112076e+28,0.0
AggressiveCar2,1.490475488507387e+29,4.8638672624514634e+29,4.051107114033348e+28,0.0
AggressiveCar3,200584346851.71,161400010877.55,47495054062.93,0.0
AggressiveCar4,16102582126.3,10797439959.52,1968783805.6,0.0
AggressiveCar1,1.9846922995325397e+29,6.565365675699953e+29,3.57766726076071e+28,0.0
AggressiveCar2,1.7570729423240817e+29,5.812400435046135e+29,6.572793597907383e+28,0.0
AggressiveCar3,642989729913.04,546124491209.11,84947374146.08,0.0
AggressiveCar4,24564285588.4,17569448789.2,6748399974.7,0.0
AggressiveCar1,4.2923287759361196e+29,1.439091006683992e+30,8.753820900933271e+28,0.0
AggressiveCar2,3.289366284426285e+29,1.1028273193203906e+30,7.749867246728181e+28,0.0
AggressiveCar3,1659580826152.9,1483755767682.52,273062245604.55,0.0
AggressiveCar4,76086425173.64,57821601607.15,10334969876.0,0.0
AggressiveCar1,5.617614735210996e+29,1.9085324983282773e+30,1.8935407982684103e+29,0.0
AggressiveCar2,5.762319440857302e+29,1.9576945798174112e+30,1.4510885780531456e+29,0.0
AggressiveCar3,5200964502502.93,4882443207535.16,706550365563.1,0.0
AggressiveCar4,112616252828.38,90616564636.16,32123112003.97,0.0
AggressiveCar1,1.4950298813614617e+30,5.146057258150763e+30,2.478613634192568e+29,0.0
AggressiveCar2,1.093099762267199e+30,3.7625695884923704e+30,2.542460493269365e+29,0.0
AggressiveCar3,11367537190963.77,11179518024193.25,2219292367061.44,0.0
AggressiveCar4,207333966777.88,176099480052.74,47692928755.87,0.0
AggressiveCar1,3.897364479148474e+30,1.3589379945175725e+31,6.59750930532149e+29,0.0
AggressiveCar2,1.8410420939648014e+30,6.419368946323402e+30,4.8238071647338084e+29,0.0
AggressiveCar3,34390201847690.69,35358723401738.3,4860660010518.8,0.0
AggressiveCar4,415827238982.98,371772229756.8,88049740026.37,0.0
AggressiveCar1,6.815120880833752e+30,2.406770449646251e+31,1.7201746766045222e+30,0.0
AggressiveCar2,3.8983086491772384e+30,1.3766937116003657e+31,8.125783476358736e+29,0.0
AggressiveCar3,49774141491590.12,53400956450521.36,14732801417390.96,0.0
AggressiveCar4,665761693172.85,624988625687.52,177034395122.29,0.0
AggressiveCar1,1.2747388310743702e+31,4.55874414331469e+31,3.008463062057814e+30,0.0
AggressiveCar2,9.553479856197512e+30,3.4165328050773397e+31,1.7208671395004572e+30,0.0
AggressiveCar3,129755816162439.14,145010970230709.8,21360382580208.54,0.0
AggressiveCar4,1225468449832.94,1205199190716.35,284085738948.87,0.0
