Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.01,0.01,0.01,0.0
0.01,0.01,0.01,0.1
0.01,0.01,0.01,0.2
0.01,0.01,0.01,0.3
0.01,0.01,0.01,0.4
0.01,0.01,0.01,0.5
0.01,0.01,0.01,0.6
0.01,0.01,0.01,0.7
0.01,0.01,0.01,0.8
0.01,0.01,0.01,0.9
0.01,0.01,0.01,1.0
0.01,0.01,0.02,1.1
0.01,0.01,0.01,1.2
0.01,0.01,0.02,1.3
0.01,0.01,0.02,1.4
0.01,0.01,0.02,1.5
0.01,0.01,0.02,1.6
0.01,0.01,0.02,1.7
0.01,0.01,0.02,1.8
0.01,0.01,0.02,1.9
0.01,0.01,0.02,2.0
0.01,0.01,0.02,2.1
0.01,0.01,0.02,2.2
0.01,0.01,0.02,2.3
0.01,0.01,0.03,2.4
0.01,0.01,0.03,2.5
0.01,0.01,0.02,2.6
0.01,0.02,0.03,2.7
0.02,0.01,0.02,2.8
0.02,0.01,0.03,2.9
0.02,0.01,0.03,3.0
0.01,0.02,0.03,3.1
0.02,0.02,0.02,3.2
0.02,0.02,0.03,3.3
0.02,0.02,0.03,3.4
0.02,0.02,0.03,3.5
0.01,0.02,0.03,3.6
0.02,0.02,0.04,3.7
0.02,0.02,0.03,3.8
0.02,0.02,0.03,3.9
0.02,0.02,0.03,4.0
0.02,0.02,0.03,4.1
0.02,0.02,0.03,4.2
0.02,0.02,0.04,4.3
0.02,0.02,0.05,4.4
0.02,0.02,0.04,4.5
0.02,0.02,0.03,4.6
0.02,0.03,0.04,4.7
0.02,0.02,0.04,4.8
0.02,0.02,0.05,4.9
0.03,0.02,0.05,5.0
0.02,0.03,0.05,5.1
0.03,0.02,0.05,5.2
0.02,0.02,0.05,5.3
0.02,0.02,0.06,5.4
0.03,0.02,0.05,5.5
0.02,0.03,0.06,5.6
0.03,0.03,0.06,5.7
0.03,0.04,0.07,5.8
0.04,0.04,0.05,5.9
0.03,0.04,0.05,6.0
0.03,0.04,0.07,6.1
0.03,0.03,0.06,6.2
0.03,0.05,0.07,6.3
0.04,0.04,0.07,6.4
0.03,0.05,0.06,6.5
0.03,0.04,0.06,6.6
0.04,0.04,0.07,6.7
0.05,0.04,0.07,6.8
0.04,0.04,0.06,6.9
0.03,0.05,0.05,7.0
0.04,0.03,0.06,7.1
0.03,0.04,0.07,7.2
0.04,0.04,0.07,7.3
0.04,0.04,0.07,7.4
0.04,0.03,0.09,7.5
0.04,0.04,0.07,7.6
0.04,0.03,0.06,7.7
0.04,0.04,0.08,7.8
0.04,0.04,0.07,7.9
0.04,0.04,0.09,8.0
0.04,0.04,0.09,8.1
