Speed_(km/hr)_TL,Speed_(km/hr)_CAwSD4WI,Speed_(km/hr)_RN,Time_(secs)
22.59,22.59,22.59,0.0
22.59,22.59,22.59,0.1
22.59,22.59,22.59,0.2
22.59,22.59,22.59,0.3
22.59,22.59,22.59,0.4
22.59,22.59,22.59,0.5
22.59,22.59,22.59,0.6
22.59,22.59,22.59,0.7
22.59,22.59,22.59,0.8
22.59,22.59,22.59,0.9
22.59,22.59,22.59,1.0
22.59,22.59,22.59,1.1
22.59,22.59,22.59,1.2
22.59,22.59,22.59,1.3
22.59,22.59,22.59,1.4
22.59,22.59,22.59,1.5
22.59,22.59,22.59,1.6
22.59,22.59,22.59,1.7
22.59,22.59,22.59,1.8
22.59,22.59,22.59,1.9
22.59,22.59,22.59,2.0
22.59,22.59,22.59,2.1
22.59,22.59,22.59,2.2
22.59,22.59,22.59,2.3
22.59,22.59,22.59,2.4
22.59,22.59,22.59,2.5
22.59,16.95,22.59,2.6
22.59,16.95,22.59,2.7
22.59,14.12,22.59,2.8
22.59,14.12,22.59,2.9
22.59,14.12,22.59,3.0
22.59,11.3,22.59,3.1
22.59,11.3,22.59,3.2
22.59,11.3,22.59,3.3
22.59,11.3,22.59,3.4
22.59,11.3,22.59,3.5
22.59,11.3,22.59,3.6
22.59,11.3,22.59,3.7
22.59,11.3,22.59,3.8
22.59,11.3,22.59,3.9
22.59,11.3,22.59,4.0
22.59,11.3,22.59,4.1
22.59,11.3,22.59,4.2
22.59,11.3,22.59,4.3
22.59,11.3,22.59,4.4
22.59,11.3,22.59,4.5
22.59,11.41,22.59,4.6
22.59,11.58,22.59,4.7
22.59,11.8,22.59,4.8
22.59,12.02,22.59,4.9
22.59,12.25,22.59,5.0
22.59,12.47,22.59,5.1
22.59,12.69,22.59,5.2
22.59,12.92,22.59,5.3
22.59,13.14,22.59,5.4
22.59,13.37,22.59,5.5
22.59,13.59,22.59,5.6
22.59,13.81,22.59,5.7
22.59,14.04,22.59,5.8
22.59,14.26,22.59,5.9
22.59,14.48,22.59,6.0
22.59,14.71,22.59,6.1
22.59,14.93,22.59,6.2
22.59,15.16,22.59,6.3
22.59,15.38,22.59,6.4
22.59,15.6,22.59,6.5
20.22,15.83,22.59,6.6
19.03,16.05,22.59,6.7
19.03,16.27,22.59,6.8
19.03,16.5,22.59,6.9
17.84,16.72,22.59,7.0
17.84,16.95,22.59,7.1
17.84,17.17,22.59,7.2
17.84,17.39,22.59,7.3
17.84,17.62,22.59,7.4
17.84,17.84,22.59,7.5
17.84,18.57,22.59,7.6
17.84,18.77,22.59,7.7
17.84,19.33,22.59,7.8
18.07,19.79,22.59,7.9
18.07,19.95,22.59,8.0
16.95,18.06,22.59,8.1
17.21,18.22,22.59,8.2
15.72,16.33,22.59,8.3
15.72,14.44,22.59,8.4
15.72,14.6,22.59,8.5
15.72,14.76,22.59,8.6
15.72,15.57,22.59,8.7
15.72,15.71,22.59,8.8
15.72,15.86,22.59,8.9
14.81,16.01,22.59,9.0
14.89,14.28,22.59,9.1
14.97,14.43,22.59,9.2
15.05,14.58,22.59,9.3
15.12,14.73,22.59,9.4
15.2,14.84,22.59,9.5
14.3,14.93,22.59,9.6
14.38,15.01,22.59,9.7
14.45,15.04,22.59,9.8
14.59,15.06,22.59,9.9
13.79,15.06,22.59,10.0
13.86,15.06,22.59,10.1
14.25,15.06,22.59,10.2
14.32,15.06,22.59,10.3
14.38,15.06,22.59,10.4
14.45,15.06,22.59,10.5
14.52,15.06,22.59,10.6
14.58,15.1,22.59,10.7
14.65,15.25,22.59,10.8
14.71,15.4,22.59,10.9
13.94,15.55,22.59,11.0
14.01,15.7,22.59,11.1
14.08,15.85,22.59,11.2
14.14,15.99,22.59,11.3
14.21,16.14,22.59,11.4
13.77,16.29,22.59,11.5
13.35,16.44,22.59,11.6
12.64,16.59,22.59,11.7
13.03,16.74,22.59,11.8
13.39,16.89,22.59,11.9
13.45,17.04,22.59,12.0
13.51,17.19,22.59,12.1
13.57,17.34,22.59,12.2
13.62,17.49,22.59,12.3
13.68,17.64,22.59,12.4
13.74,17.78,22.59,12.5
13.8,17.93,22.59,12.6
13.85,18.08,22.59,12.7
13.91,18.23,22.59,12.8
13.97,18.38,22.59,12.9
13.3,18.53,22.59,13.0
13.65,18.68,22.59,13.1
13.7,18.83,22.59,13.2
13.05,18.98,22.59,13.3
12.03,19.13,22.59,13.4
12.08,19.28,22.59,13.5
12.73,19.42,22.59,13.6
12.78,19.57,22.59,13.7
12.83,19.72,22.59,13.8
12.86,19.87,22.59,13.9
12.89,20.02,22.59,14.0
12.91,20.17,22.59,14.1
12.91,20.32,22.59,14.2
12.91,20.77,22.59,14.3
12.91,21.01,22.59,14.4
12.91,21.13,22.59,14.5
12.91,18.24,22.59,14.6
13.18,16.85,22.59,14.7
13.18,16.97,22.59,14.8
13.18,17.09,22.59,14.9
11.6,17.21,22.59,15.0
11.6,17.33,22.59,15.1
11.6,17.77,22.59,15.2
11.3,17.88,22.59,15.3
11.34,17.99,22.59,15.4
11.39,16.69,22.59,15.5
11.72,16.79,22.59,15.6
11.77,16.85,22.59,15.7
11.82,16.9,22.59,15.8
11.86,16.95,22.59,15.9
11.91,16.95,22.59,16.0
11.95,16.95,22.59,16.1
12.0,16.95,22.59,16.2
12.05,16.95,22.59,16.3
12.09,16.95,22.59,16.4
12.14,16.95,22.59,16.5
11.88,16.95,22.59,16.6
11.63,16.95,22.59,16.7
11.68,16.95,22.59,16.8
11.17,16.95,22.59,16.9
10.95,17.06,22.59,17.0
10.99,17.17,22.59,17.1
9.95,17.28,22.59,17.2
10.0,17.39,22.59,17.3
10.04,17.5,22.59,17.4
10.08,17.62,22.59,17.5
10.42,17.73,22.59,17.6
10.46,17.84,22.59,17.7
10.5,17.95,22.59,17.8
10.54,18.06,22.59,17.9
10.58,18.18,22.59,18.0
10.9,18.29,22.59,18.1
10.42,18.4,22.59,18.2
10.46,18.51,22.59,18.3
10.5,18.62,22.59,18.4
10.03,18.73,22.59,18.5
10.07,18.85,22.59,18.6
9.67,18.96,22.59,18.7
9.71,19.07,22.59,18.8
9.75,19.18,22.59,18.9
9.79,19.29,22.59,19.0
9.83,19.41,22.59,19.1
9.87,19.52,22.59,19.2
9.91,19.63,22.59,19.3
9.94,19.74,22.59,19.4
9.98,19.85,22.59,19.5
10.55,19.97,22.59,19.6
9.64,20.08,22.59,19.7
9.21,20.19,22.59,19.8
9.25,20.3,22.59,19.9
